Slice X Y
1 233 64
1 181 92
1 279 97
1 319 153
1 244 159
1 171 162
1 323 182
1 379 191
1 186 193
1 128 208
1 249 209
1 372 226
1 186 244
1 322 248
1 396 257
1 113 258
1 262 267
1 196 283
1 337 283
1 144 302
1 297 303
1 234 322
1 355 324
1 199 342
1 155 343
1 279 351
1 319 362
2 206 76
2 181 90
2 247 92
2 208 102
2 222 105
2 184 117
2 203 125
2 228 129
2 165 135
2 338 175
2 367 183
2 176 189
2 330 193
2 355 201
2 345 207
2 370 218
2 336 219
2 355 233
2 237 254
2 141 257
2 156 264
2 136 274
2 147 284
2 175 285
2 154 290
2 134 292
2 266 364
3 193 204
3 215 209
3 171 214
3 238 214
3 196 218
3 222 222
3 177 229
3 244 233
3 219 236
3 200 243
3 249 245
3 168 247
3 235 249
3 200 257
3 221 258
3 265 262
3 175 265
3 198 274
3 230 275
3 259 279
3 171 280
3 213 287
3 189 289
3 237 303
3 175 304
3 195 305
3 225 311
